Cost 7980
Edges 66
E 72 52
E 72 62
E 112 62
E 112 87
E 90 87
E 90 15
E 40 15
E 50 40
E 50 35
E 35 10
E 25 10
E 10 8
E 20 10
E 8 7
E 12 7
E 25 21
E 21 6
E 11 6
E 6 1
E 31 6
E 51 1
E 2 1
E 102 2
E 105 102
E 101 51
E 103 101
E 103 3
E 61 11
E 61 36
E 111 61
E 114 111
E 114 113
E 41 36
E 41 16
E 19 16
E 24 19
E 119 19
E 19 9
E 34 9
E 34 32
E 84 34
E 37 32
E 47 37
E 49 47
E 120 119
E 120 118
E 118 18
E 18 17
E 92 17
E 117 92
E 24 23
E 48 23
E 73 48
E 75 73
E 100 75
E 100 98
E 98 88
E 88 63
E 93 88
E 93 91
E 91 76
E 81 76
E 96 81
E 63 53
E 65 63
E 68 53
